Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,ssd Name,Price
SSD,,Toshiba,THNSN5256GPU7 NVMe PCIe M.2 256GB,161,148.0,19151,https://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO,Toshiba THNSN5256GPU7 NVMe PCIe M.2 256GB,25.99
SSD,MKNSSDPL120GB-D8,Mushkin,Pilot NVMe PCIe M.2 120GB,162,148.0,156,https://ssd.userbenchmark.com/SpeedTest/533910/MKNSSDPL120GB-D8,Mushkin Pilot NVMe PCIe M.2 120GB,25.99
SSD,PX-1TM8SeY,Plextor,M8Se NVMe PCIe M.2 1TB,163,145.0,160,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG,Plextor M8Se NVMe PCIe M.2 1TB,107.34
SSD,PX-1TM8SeG,Plextor,M8Se NVMe PCIe M.2 1TB,163,145.0,160,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG,Plextor M8Se NVMe PCIe M.2 1TB,107.34
SSD,PX-1TM8SeGN,Plextor,M8Se NVMe PCIe M.2 1TB,163,145.0,160,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG,Plextor M8Se NVMe PCIe M.2 1TB,107.34
SSD,KXG50ZNV512G,Toshiba,XG5 NVMe PCIe M.2 512GB,164,145.0,33719,https://ssd.userbenchmark.com/SpeedTest/359770/KXG50ZNV512G-NVMe-TOSHIBA-512GB,Toshiba XG5 NVMe PCIe M.2 512GB,39.99
SSD,PX-512M8SeY,Plextor,M8Se NVMe PCIe M.2 512GB,165,145.0,198,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG,Plextor M8Se NVMe PCIe M.2 512GB,39.99
SSD,PX-512M8SeG,Plextor,M8Se NVMe PCIe M.2 512GB,165,145.0,198,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG,Plextor M8Se NVMe PCIe M.2 512GB,39.99
SSD,PX-512M8SeGN,Plextor,M8Se NVMe PCIe M.2 512GB,165,145.0,198,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG,Plextor M8Se NVMe PCIe M.2 512GB,39.99
SSD,SHPM2280P2/480G,Kingston,HyperX Predator AHCI PCIe M.2 480GB,166,144.0,1985,https://ssd.userbenchmark.com/SpeedTest/27251/Kingston-SHPM2280P2480G,Kingston HyperX Predator AHCI PCIe M.2 480GB,37.99
SSD,PX-128M8PeG,Plextor,M8Pe NVMe PCIe M.2 128GB,167,143.0,581,https://ssd.userbenchmark.com/SpeedTest/171560/PLEXTOR-PX-128M8PeG,Plextor M8Pe NVMe PCIe M.2 128GB,9.99
SSD,ASX8000NP-256GM-C,Adata,XPG SX8000 NVMe PCIe M.2 256GB,168,143.0,2434,https://ssd.userbenchmark.com/SpeedTest/209005/NVMe-ADATA-SX8000NP,Adata XPG SX8000 NVMe PCIe M.2 256GB,46.99
SSD,PH240GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 240GB,169,142.0,2120,https://ssd.userbenchmark.com/SpeedTest/179778/Patriot-Hellfire-M2,Patriot Hellfire NVMe PCIe M.2 240GB,25.99
