Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,cpu Name,Price
CPU,YD192XA8AEWOF,AMD,Ryzen TR 1920X,280,77.6,10440,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1920X/Rating/3934,AMD Ryzen TR 1920X,270
CPU,FH8068403419332,Intel,Core i7-8559U,281,77.5,2379,https://cpu.userbenchmark.com/SpeedTest/543591/IntelR-CoreTM-i7-8559U-CPU---270GHz,Intel Core i7-8559U,366
CPU,,Intel,Core i3-10100T,282,77.2,423,https://cpu.userbenchmark.com/SpeedTest/1260090/IntelR-CoreTM-i3-10100T-CPU---300GHz,Intel Core i3-10100T,142
CPU,,Intel,Xeon E3-1275 v3,283,77.2,384,https://cpu.userbenchmark.com/SpeedTest/5652/IntelR-XeonR-CPU-E3-1275-v3---350GHz,Intel Xeon E3-1275 v3,907
CPU,BX80646E31276V3,Intel,Xeon E3-1276 v3,284,77.1,297,https://cpu.userbenchmark.com/SpeedTest/25180/IntelR-XeonR-CPU-E3-1276-v3---360GHz,Intel Xeon E3-1276 v3,22
CPU,,Intel,Core i7-9850H,285,77.1,9974,https://cpu.userbenchmark.com/SpeedTest/826055/IntelR-CoreTM-i7-9850H-CPU---260GHz,Intel Core i7-9850H,381
CPU,100-000000253,AMD,Ryzen 3 5300G,286,77.0,1231,https://cpu.userbenchmark.com/SpeedTest/1542116/AMD-Ryzen-3-5300G-with-Radeon-Graphics,AMD Ryzen 3 5300G,96
CPU,BX80633I74930K,Intel,Core i7-4930K,287,76.9,22204,https://cpu.userbenchmark.com/Intel-Core-i7-4930K/Rating/1976,Intel Core i7-4930K,381
CPU,,Intel,Xeon W3690,288,76.9,4808,https://cpu.userbenchmark.com/SpeedTest/9677/IntelR-XeonR-CPU-----------W3690----347GHz,Intel Xeon W3690,13
CPU,BX80648I75820K,Intel,Core i7-5820K,289,76.8,101694,https://cpu.userbenchmark.com/Intel-Core-i7-5820K/Rating/2579,Intel Core i7-5820K,190
CPU,,Intel,Xeon E5-1650 v3,290,76.8,7962,https://cpu.userbenchmark.com/SpeedTest/16320/IntelR-XeonR-CPU-E5-1650-v3---350GHz,Intel Xeon E5-1650 v3,25
CPU,,Intel,Core i7-10750H,291,76.8,206796,https://cpu.userbenchmark.com/SpeedTest/1053158/IntelR-CoreTM-i7-10750H-CPU---260GHz,Intel Core i7-10750H,375
CPU,YD195XA8AEWOF,AMD,Ryzen TR 1950X,292,76.7,23641,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932,AMD Ryzen TR 1950X,166
CPU,,AMD,Ryzen 5 6600H,293,76.7,1386,https://cpu.userbenchmark.com/SpeedTest/1815652/AMD-Ryzen-5-6600H-with-Radeon-Graphics,AMD Ryzen 5 6600H,469
CPU,,Intel,Xeon E3-1230 v5,294,76.6,2254,https://cpu.userbenchmark.com/SpeedTest/72554/IntelR-XeonR-CPU-E3-1230-v5---340GHz,Intel Xeon E3-1230 v5,989
CPU,CL8068403373614,Intel,Core i5-8400H,295,76.6,1303,https://cpu.userbenchmark.com/SpeedTest/524256/IntelR-CoreTM-i5-8400H-CPU---250GHz,Intel Core i5-8400H,199
CPU,YD190XA8AEWOF,AMD,Ryzen TR 1900X,296,76.3,7071,https://cpu.userbenchmark.com/SpeedTest/340638/AMD-Ryzen-Threadripper-1900X-8-Core-Processor,AMD Ryzen TR 1900X,277
CPU,BX80677I77700,Intel,Core i7-7700,297,76.2,256717,https://cpu.userbenchmark.com/Intel-Core-i7-7700/Rating/3887,Intel Core i7-7700,381
CPU,,Intel,Core i5-1335U,298,76.1,1345,https://cpu.userbenchmark.com/SpeedTest/2065642/13th-Gen-IntelR-CoreTM-i5-1335U,Intel Core i5-1335U,599
CPU,,Intel,Xeon E5-1650 v2,299,76.0,10921,https://cpu.userbenchmark.com/SpeedTest/7574/IntelR-XeonR-CPU-E5-1650-v2---350GHz,Intel Xeon E5-1650 v2,229
CPU,,Intel,Core i7 X 980,300,76.0,8133,https://cpu.userbenchmark.com/SpeedTest/1822/IntelR-CoreTM-i7-CPU-------X-980----333GHz,Intel Core i7 X 980,381
