Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,cpu Name,Price
CPU,BX8071512900KF,Intel,Core i9-12900KF,28,117.0,15291,https://cpu.userbenchmark.com/SpeedTest/1685583/12th-Gen-IntelR-CoreTM-i9-12900KF,Intel Core i9-12900KF,272
CPU,100-100000910WOF,AMD,Ryzen 7 7800X3D,29,117.0,4385,https://cpu.userbenchmark.com/SpeedTest/2081998/AMD-Ryzen-7-7800X3D-8-Core-Processor,AMD Ryzen 7 7800X3D,339
CPU,BX8071512900K,Intel,Core i9-12900K,30,117.0,66991,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118,Intel Core i9-12900K,579
CPU,,Intel,Core i9-13950HX,31,116.0,1063,https://cpu.userbenchmark.com/SpeedTest/2033250/13th-Gen-IntelR-CoreTM-i9-13950HX,Intel Core i9-13950HX,459
CPU,BX8071513600,Intel,Core i5-13600,32,116.0,103,https://cpu.userbenchmark.com/SpeedTest/2013466/13th-Gen-IntelR-CoreTM-i5-13600,Intel Core i5-13600,259
CPU,BX8071514600,Intel,Core i5-14600,33,115.0,29,https://cpu.userbenchmark.com/SpeedTest/2279170/IntelR-CoreTM-i5-14600,Intel Core i5-14600,239
CPU,,Intel,Core i9-13900HX,34,115.0,8895,https://cpu.userbenchmark.com/SpeedTest/2023039/13th-Gen-IntelR-CoreTM-i9-13900HX,Intel Core i9-13900HX,2479
CPU,BX8071512700K,Intel,Core i7-12700K,35,114.0,78749,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119,Intel Core i7-12700K,409
CPU,BX8071512700KF,Intel,Core i7-12700KF,36,114.0,70812,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF,Intel Core i7-12700KF,409
CPU,100-100000514WOF,AMD,Ryzen 9 7950X,37,114.0,3143,https://cpu.userbenchmark.com/AMD-Ryzen-9-7950X/Rating/4133,AMD Ryzen 9 7950X,486
CPU,BX8071514500,Intel,Core i5-14500,38,114.0,130,https://cpu.userbenchmark.com/SpeedTest/2255984/IntelR-CoreTM-i5-14500,Intel Core i5-14500,239
CPU,100-100000589WOF,AMD,Ryzen 9 7900X,39,113.0,4545,https://cpu.userbenchmark.com/AMD-Ryzen-9-7900X/Rating/4132,AMD Ryzen 9 7900X,364
CPU,BX8071512900F,Intel,Core i9-12900F,40,113.0,1540,https://cpu.userbenchmark.com/SpeedTest/1757838/12th-Gen-IntelR-CoreTM-i9-12900F,Intel Core i9-12900F,362
CPU,BX8071513500,Intel,Core i5-13500,41,113.0,3785,https://cpu.userbenchmark.com/Intel-Core-i5-13500/Rating/4147,Intel Core i5-13500,239
CPU,100-100000591WOF,AMD,Ryzen 7 7700X,42,112.0,4548,https://cpu.userbenchmark.com/AMD-Ryzen-7-7700X/Rating/4131,AMD Ryzen 7 7700X,278
CPU,,Intel,Core i7-13850HX,43,111.0,152,https://cpu.userbenchmark.com/SpeedTest/2085967/13th-Gen-IntelR-CoreTM-i7-13850HX,Intel Core i7-13850HX,291
CPU,,Intel,Core i7-14700HX,44,111.0,86,https://cpu.userbenchmark.com/SpeedTest/2222576/IntelR-CoreTM-i7-14700HX,Intel Core i7-14700HX,381
CPU,BX8071512900,Intel,Core i9-12900,45,111.0,2410,https://cpu.userbenchmark.com/SpeedTest/1668917/12th-Gen-IntelR-CoreTM-i9-12900,Intel Core i9-12900,579
CPU,100-100000593WOF,AMD,Ryzen 5 7600X,46,110.0,6311,https://cpu.userbenchmark.com/AMD-Ryzen-5-7600X/Rating/4130,AMD Ryzen 5 7600X,199
CPU,100-100000592BOX,AMD,Ryzen 7 7700,47,109.0,627,https://cpu.userbenchmark.com/SpeedTest/2016389/AMD-Ryzen-7-7700-8-Core-Processor,AMD Ryzen 7 7700,278
CPU,100-100000590BOX,AMD,Ryzen 9 7900,48,109.0,672,https://cpu.userbenchmark.com/SpeedTest/2015863/AMD-Ryzen-9-7900-12-Core-Processor,AMD Ryzen 9 7900,368
CPU,BX8071512600KF,Intel,Core i5-12600KF,49,109.0,40032,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF,Intel Core i5-12600KF,158
